iter	RMSE
929	11663.21409
930	11660.26546
931	11654.59011
932	11647.09396
933	11637.92277
934	11628.94612
935	11610.24508
936	11604.52996
937	11598.91737
938	11597.69724
939	11597.43771
940	11596.44063
941	11592.1627
942	11579.0598
943	11575.81113
944	11563.56095
945	11558.98246
946	11552.33075
947	11545.33291
948	11539.02135
949	11533.2334
950	11525.3135
951	11516.67227
952	11507.36474
953	11502.71026
954	11495.16112
955	11482.83183
956	11474.3108
957	11466.19182
958	11455.98866
959	11444.83395
960	11441.57566
961	11435.44845
962	11429.90429
963	11429.06155
964	11419.3142
965	11406.96245
966	11400.07263
967	11399.04071
968	11392.53909
969	11379.48243
970	11371.19011
971	11360.03419
972	11349.49122
973	11338.4832
974	11328.56063
975	11313.36695
976	11306.38222
977	11300.08931
978	11293.4626
979	11287.44969
980	11275.68235
981	11270.09897
982	11267.71461
983	11260.18963
984	11254.4021
985	11244.81208
986	11242.22144
987	11224.23423
988	11223.77734
989	11216.41144
990	11214.06574
991	11198.79749
992	11197.46972
993	11196.73198
994	11187.58226
995	11182.86154
996	11174.24465
997	11169.80859
998	11165.00081
999	11155.91574
1000	11145.77236
1001	11142.68666
1002	11135.59907
1003	11125.27399
1004	11118.43194
1005	11117.92938
1006	11111.29182
1007	11110.97403
1008	11102.00645
1009	11101.77762
1010	11095.54217
1011	11089.02505
1012	11080.10803
1013	11076.07459
1014	11069.76518
1015	11062.87449
1016	11058.9695
1017	11054.33062
1018	11044.86925
1019	11033.6129
1020	11025.40903
1021	11024.37436
1022	11018.93049
1023	11011.48167
1024	11008.27053
1025	10998.88318
1026	10987.85238
1027	10976.21142
1028	10966.82841
1029	10964.7181
1030	10948.84622
1031	10943.53811
1032	10935.71735
1033	10935.03821
1034	10929.11488
1035	10928.41562
1036	10926.65195
1037	10925.86474
1038	10915.19676
1039	10910.48254
1040	10905.09374
1041	10899.1455
1042	10897.628
1043	10896.74717
1044	10885.91642
1045	10880.48356
1046	10869.60945
1047	10858.65429
1048	10853.89442
1049	10848.27741
1050	10835.23795
1051	10834.47726
1052	10826.74672
1053	10817.66192
1054	10816.73547
1055	10813.30292
1056	10803.24497
1057	10797.41727
1058	10784.95763
1059	10766.96342
1060	10761.96686
1061	10757.87823
1062	10746.2859
1063	10745.43682
1064	10744.56215
1065	10743.78362
1066	10742.7452
1067	10735.53754
1068	10733.83974
1069	10729.81323
1070	10720.06502
1071	10718.88172
1072	10706.49254
1073	10695.93844
1074	10690.0123
1075	10682.13635
1076	10681.93811
1077	10676.09161
1078	10668.48134
1079	10661.54525
1080	10652.67729
1081	10646.40787
